actor,Movie_or_TV_name
Sofia Coppola,Ciao L.A.
Sofia Coppola,Hi Octane
Sofia Coppola,Walt Mink: Shine
Sofia Coppola,La Traviata
Sofia Coppola,New York Stories
Sofia Coppola,Torrance Rises
Sofia Coppola,New York Stories
Sofia Coppola,The Spirit of '76
Sofia Coppola,Private Life
Sofia Coppola,Paris Can Wait
Sofia Coppola,Palo Alto
Sofia Coppola,A Glimpse Inside the Mind of Charles Swan III
Sofia Coppola,The Haunting of Helena
Sofia Coppola,10 pelis
Sofia Coppola,Veronika
Sofia Coppola,Broken English
Sofia Coppola,The Squid and the Whale
Sofia Coppola,Thumbsucker
Sofia Coppola,The Dream Studio
Sofia Coppola,Kill Bill: Vol. 2
Sofia Coppola,"What's Up, Fatlip?"
Sofia Coppola,Adaptation.
Sofia Coppola,Bel Air
Sofia Coppola,Torrance Rises
Sofia Coppola,The Godfather Family: A Look Inside
Sofia Coppola,2021 Final Draft Awards
Sofia Coppola,Hollywood Insider
Sofia Coppola,Life Cinematic
Sofia Coppola,Entertainment Tonight
Sofia Coppola,Armchair Expert with Dax Shepard
Sofia Coppola,AFI Movie Club
Sofia Coppola,Le fantastique Mr Murray
Sofia Coppola,Making Waves: The Art of Cinematic Sound
Sofia Coppola,Adventures in Moviegoing
Sofia Coppola,Elvis Goes There
Sofia Coppola,7 Days Out
Sofia Coppola,Face to Grace
Sofia Coppola,Always at The Carlyle
Sofia Coppola,The Virgin Suicides: Revisiting The Virgin Suicides
Sofia Coppola,The Beguiled: A Shift in Perspective
Sofia Coppola,The Beguiled: A Southern Style
Sofia Coppola,Manolo: The Boy Who Made Shoes for Lizards
Sofia Coppola,Días de cine
Sofia Coppola,Celebrity Page
Sofia Coppola,ITV News at Ten
Sofia Coppola,Made in Hollywood
Sofia Coppola,Extra with Billy Bush
Sofia Coppola,WTF with Marc Maron
Sofia Coppola,The Late Late Show with James Corden
Sofia Coppola,Le journal du Festival
Sofia Coppola,La Traviata
Sofia Coppola,The Family Whistle
Sofia Coppola,Il était une fois...
Sofia Coppola,Cannes Film Festival
Sofia Coppola,Cinema 3
Sofia Coppola,Late Night with Jimmy Fallon
Sofia Coppola,At the Movies
Sofia Coppola,Le grand journal de Canal+
Sofia Coppola,Between Two Ferns with Zach Galifianakis
Sofia Coppola,The 2013 Film Independent Spirit Awards
Sofia Coppola,Sunset Strip
Sofia Coppola,Made in Hollywood: Teen Edition
Sofia Coppola,Rencontres de cinéma
Sofia Coppola,Up Close with Carrie Keagan
Sofia Coppola,In the House with Peter Bart & Peter Guber
Sofia Coppola,The Girls Next Door
Sofia Coppola,La traversée du désir
Sofia Coppola,40 x 15
Sofia Coppola,Fog City Mavericks
Sofia Coppola,Marc Jacobs & Louis Vuitton
Sofia Coppola,The Making of 'Marie Antoinette'
Sofia Coppola,Silenci?
Sofia Coppola,Miradas 2
Sofia Coppola,"Cannes, la alfombra roja"
Sofia Coppola,Imagine
Sofia Coppola,Film 2018
Sofia Coppola,Corazón de...
Sofia Coppola,La nuit des Césars
Sofia Coppola,The Independent Spirit Awards Nomination Show
Sofia Coppola,The 76th Annual Academy Awards
Sofia Coppola,The 2004 IFP/West Independent Spirit Awards
Sofia Coppola,Late Show with David Letterman
Sofia Coppola,Lost on Location: Behind the Scenes of 'Lost in Translation'
Sofia Coppola,The 61st Annual Golden Globe Awards 2004
Sofia Coppola,The 2003 European Film Awards
Sofia Coppola,The Work of Director Spike Jonze
Sofia Coppola,Charlie Rose
Sofia Coppola,On the Set of 'CQ'
Sofia Coppola,2001 MTV Movie Awards
Sofia Coppola,Beastie Boys: Video Anthology
Sofia Coppola,Nulle part ailleurs
Sofia Coppola,The Tonight Show with Jay Leno
Sofia Coppola,The 72nd Annual Academy Awards
Sofia Coppola,The 15th Annual IFP/West Independent Spirit Awards
Sofia Coppola,The 52nd Annual Directors Guild Awards
Sofia Coppola,Air: Playground Love
Sofia Coppola,Torrance Rises
Sofia Coppola,Making of 'The Virgin Suicides'
